raw_organism,raw_drug,canonical_organism,canonical_drug
acinetobacter colistiniresistens,tigecycline,acinetobacter species,tigecycline
acinetobacter courvalinii,collection number,acinetobacter species,collection number
acinetobacter courvalinii,levofloxacin,acinetobacter species,levofloxacin
acinetobacter courvalinii,omadacycline,acinetobacter species,eravacycline
acinetobacter courvalinii,study year,acinetobacter species,study year
acinetobacter courvalinii,tigecycline,acinetobacter species,tigecycline
acinetobacter dijkshoorniae,tigecycline,acinetobacter species,tigecycline
acinetobacter dispersus,collection number,acinetobacter species,collection number
acinetobacter dispersus,levofloxacin,acinetobacter species,levofloxacin
acinetobacter dispersus,omadacycline,acinetobacter species,eravacycline
acinetobacter dispersus,study year,acinetobacter species,study year
acinetobacter dispersus,tigecycline,acinetobacter species,tigecycline
acinetobacter guillouiae,collection number,acinetobacter species,collection number
acinetobacter guillouiae,levofloxacin,acinetobacter species,levofloxacin
acinetobacter guillouiae,omadacycline,acinetobacter species,eravacycline
acinetobacter guillouiae,study year,acinetobacter species,study year
acinetobacter guillouiae,tigecycline,acinetobacter species,tigecycline
acinetobacter gyllenbergii,collection number,acinetobacter gyllenbergii,collection number
acinetobacter gyllenbergii,levofloxacin,acinetobacter gyllenbergii,levofloxacin
acinetobacter gyllenbergii,omadacycline,acinetobacter gyllenbergii,eravacycline
acinetobacter gyllenbergii,study year,acinetobacter gyllenbergii,study year
acinetobacter gyllenbergii,tigecycline,acinetobacter gyllenbergii,tigecycline
acinetobacter haemolyticus,collection number,acinetobacter species,collection number
acinetobacter haemolyticus,levofloxacin,acinetobacter species,levofloxacin
acinetobacter haemolyticus,omadacycline,acinetobacter species,eravacycline
acinetobacter haemolyticus,study year,acinetobacter species,study year
acinetobacter haemolyticus,tigecycline,acinetobacter species,tigecycline
acinetobacter indicus,tigecycline,acinetobacter species,tigecycline
acinetobacter johnsonii,collection number,acinetobacter species,collection number
acinetobacter johnsonii,levofloxacin,acinetobacter species,levofloxacin
acinetobacter johnsonii,omadacycline,acinetobacter species,eravacycline
acinetobacter johnsonii,study year,acinetobacter species,study year
acinetobacter johnsonii,tigecycline,acinetobacter species,tigecycline
acinetobacter junii,collection number,acinetobacter species,collection number
acinetobacter junii,levofloxacin,acinetobacter species,levofloxacin
acinetobacter junii,omadacycline,acinetobacter species,eravacycline
acinetobacter junii,study year,acinetobacter species,study year
acinetobacter junii,tigecycline,acinetobacter species,tigecycline
acinetobacter lactucae,tigecycline,acinetobacter species,tigecycline
acinetobacter lwoffii,collection number,acinetobacter species,collection number
acinetobacter lwoffii,levofloxacin,acinetobacter species,levofloxacin
acinetobacter lwoffii,omadacycline,acinetobacter species,eravacycline
acinetobacter lwoffii,study year,acinetobacter species,study year
acinetobacter lwoffii,tigecycline,acinetobacter species,tigecycline
acinetobacter modestus,tigecycline,acinetobacter species,tigecycline
acinetobacter nosocomialis,collection number,acinetobacter species,collection number
acinetobacter nosocomialis,levofloxacin,acinetobacter species,levofloxacin
acinetobacter nosocomialis,omadacycline,acinetobacter species,eravacycline
acinetobacter nosocomialis,study year,acinetobacter species,study year
acinetobacter nosocomialis,tigecycline,acinetobacter species,tigecycline
acinetobacter parvus,tigecycline,acinetobacter species,tigecycline
acinetobacter pitii,tigecycline,acinetobacter species,tigecycline
acinetobacter proteolyticus,collection number,acinetobacter species,collection number
acinetobacter proteolyticus,levofloxacin,acinetobacter species,levofloxacin
acinetobacter proteolyticus,omadacycline,acinetobacter species,eravacycline
acinetobacter proteolyticus,study year,acinetobacter species,study year
acinetobacter proteolyticus,tigecycline,acinetobacter species,tigecycline
acinetobacter pseudolwoffii,tigecycline,acinetobacter species,tigecycline
acinetobacter radioresistens,collection number,acinetobacter species,collection number
acinetobacter radioresistens,levofloxacin,acinetobacter species,levofloxacin
acinetobacter radioresistens,omadacycline,acinetobacter species,eravacycline
acinetobacter radioresistens,study year,acinetobacter species,study year
acinetobacter radioresistens,tigecycline,acinetobacter species,tigecycline
acinetobacter schindleri,collection number,acinetobacter species,collection number
acinetobacter schindleri,levofloxacin,acinetobacter species,levofloxacin
acinetobacter schindleri,omadacycline,acinetobacter species,eravacycline
acinetobacter schindleri,study year,acinetobacter species,study year
acinetobacter schindleri,tigecycline,acinetobacter species,tigecycline
acinetobacter seifertii,tigecycline,acinetobacter species,tigecycline
acinetobacter soli,collection number,acinetobacter species,collection number
acinetobacter soli,levofloxacin,acinetobacter species,levofloxacin
acinetobacter soli,omadacycline,acinetobacter species,eravacycline
acinetobacter soli,study year,acinetobacter species,study year
acinetobacter soli,tigecycline,acinetobacter species,tigecycline
acinetobacter spp,tigecycline,acinetobacter species,tigecycline
acinetobacter tandoii,tigecycline,acinetobacter species,tigecycline
acinetobacter tjernbergiae,tigecycline,acinetobacter species,tigecycline
acinetobacter towneri,tigecycline,acinetobacter species,tigecycline
acinetobacter ursingii,collection number,acinetobacter species,collection number
acinetobacter ursingii,levofloxacin,acinetobacter species,levofloxacin
acinetobacter ursingii,omadacycline,acinetobacter species,eravacycline
acinetobacter ursingii,study year,acinetobacter species,study year
acinetobacter ursingii,tigecycline,acinetobacter species,tigecycline
acinetobacter variabilis,collection number,acinetobacter species,collection number
acinetobacter variabilis,levofloxacin,acinetobacter species,levofloxacin
acinetobacter variabilis,omadacycline,acinetobacter species,eravacycline
acinetobacter variabilis,study year,acinetobacter species,study year
acinetobacter variabilis,tigecycline,acinetobacter species,tigecycline
acinetobacter venetianus,tigecycline,acinetobacter species,tigecycline
acinetobacter vivianii,collection number,acinetobacter species,collection number
acinetobacter vivianii,levofloxacin,acinetobacter species,levofloxacin
acinetobacter vivianii,omadacycline,acinetobacter species,eravacycline
acinetobacter vivianii,study year,acinetobacter species,study year
acinetobacter vivianii,tigecycline,acinetobacter species,tigecycline
"acinetobacter, non-speciated",tigecycline,acinetobacter species,tigecycline
acremonium strictum genogroup iii,amphotericin b (clsi),acremonium strictum genogroup iii,amphotericin b (clsi)
acremonium strictum genogroup iii,anidulafungin (clsi),acremonium strictum genogroup iii,anidulafungin (clsi)
acremonium strictum genogroup iii,caspofungin (clsi),acremonium strictum genogroup iii,caspofungin (clsi)
acremonium strictum genogroup iii,itraconazole (clsi),acremonium strictum genogroup iii,itraconazole (clsi)
acremonium strictum genogroup iii,micafungin (clsi),acremonium strictum genogroup iii,micafungin (clsi)
acremonium strictum genogroup iii,posaconazole (clsi),acremonium strictum genogroup iii,posaconazole (clsi)
acremonium strictum genogroup iii,uid,acremonium strictum genogroup iii,uid
acremonium strictum genogroup iii,voriconazole (clsi),acremonium strictum genogroup iii,voriconazole (clsi)
aeromonas caviae,tigecycline,aeromonas caviae,tigecycline
aeromonas hydrophila,tigecycline,aeromonas hydrophila,tigecycline
aeromonas spp,tigecycline,aeromonas spp,tigecycline
aeromonas veronii,tigecycline,aeromonas veronii,tigecycline
alcaligenes faecalis,tigecycline,alcaligenes faecalis,tigecycline
alternaria alternata,amphotericin b (clsi),alternaria alternata,amphotericin b (clsi)
alternaria alternata,anidulafungin (clsi),alternaria alternata,anidulafungin (clsi)
alternaria alternata,caspofungin (clsi),alternaria alternata,caspofungin (clsi)
alternaria alternata,itraconazole (clsi),alternaria alternata,itraconazole (clsi)
alternaria alternata,micafungin (clsi),alternaria alternata,micafungin (clsi)
alternaria alternata,uid,alternaria alternata,uid
alternaria alternata,voriconazole (clsi),alternaria alternata,voriconazole (clsi)
anaerococcus hydrogenalis,tigecycline,enterococcus faecalis,tigecycline
anaerococcus murdochii,tigecycline,anaerococcus murdochii,tigecycline
anaerococcus octavius,tigecycline,enterococcus faecalis,tigecycline
anaerococcus prevotii,tigecycline,anaerococcus prevotii,tigecycline
anaerococcus spp,tigecycline,enterococcus species,tigecycline
anaerococcus vaginalis,tigecycline,enterococcus faecalis,tigecycline
apiotrichum mycotoxinivorans,amphotericin b (clsi),apiotrichum mycotoxinivorans,amphotericin b (clsi)
apiotrichum mycotoxinivorans,anidulafungin (clsi),apiotrichum mycotoxinivorans,anidulafungin (clsi)
apiotrichum mycotoxinivorans,caspofungin (clsi),apiotrichum mycotoxinivorans,caspofungin (clsi)
apiotrichum mycotoxinivorans,fluconazole (clsi),apiotrichum mycotoxinivorans,fluconazole (clsi)
apiotrichum mycotoxinivorans,itraconazole (clsi),apiotrichum mycotoxinivorans,itraconazole (clsi)
apiotrichum mycotoxinivorans,micafungin (clsi),apiotrichum mycotoxinivorans,micafungin (clsi)
apiotrichum mycotoxinivorans,posaconazole (clsi),apiotrichum mycotoxinivorans,posaconazole (clsi)
apiotrichum mycotoxinivorans,uid,apiotrichum mycotoxinivorans,uid
apiotrichum mycotoxinivorans,voriconazole (clsi),apiotrichum mycotoxinivorans,voriconazole (clsi)
aspergillus aculeatus,amphotericin b (clsi),aspergillus aculeatus,amphotericin b (clsi)
aspergillus aculeatus,anidulafungin (clsi),aspergillus aculeatus,anidulafungin (clsi)
aspergillus aculeatus,caspofungin (clsi),aspergillus aculeatus,caspofungin (clsi)
aspergillus aculeatus,itraconazole (clsi),aspergillus aculeatus,itraconazole (clsi)
aspergillus aculeatus,micafungin (clsi),aspergillus aculeatus,micafungin (clsi)
aspergillus aculeatus,posaconazole (clsi),aspergillus aculeatus,posaconazole (clsi)
aspergillus aculeatus,uid,aspergillus aculeatus,uid
aspergillus aculeatus,voriconazole (clsi),aspergillus aculeatus,voriconazole (clsi)
aspergillus alabamensis,amphotericin b (clsi),aspergillus alabamensis,amphotericin b (clsi)
aspergillus alabamensis,anidulafungin (clsi),aspergillus alabamensis,anidulafungin (clsi)
aspergillus alabamensis,caspofungin (clsi),aspergillus alabamensis,caspofungin (clsi)
aspergillus alabamensis,itraconazole (clsi),aspergillus alabamensis,itraconazole (clsi)
aspergillus alabamensis,micafungin (clsi),aspergillus alabamensis,micafungin (clsi)
aspergillus alabamensis,posaconazole (clsi),aspergillus alabamensis,posaconazole (clsi)
aspergillus alabamensis,uid,aspergillus alabamensis,uid
aspergillus alabamensis,voriconazole (clsi),aspergillus alabamensis,voriconazole (clsi)
aspergillus brasiliensis,amphotericin b (clsi),aspergillus brasiliensis,amphotericin b (clsi)
aspergillus brasiliensis,anidulafungin (clsi),aspergillus brasiliensis,anidulafungin (clsi)
aspergillus brasiliensis,caspofungin (clsi),aspergillus brasiliensis,caspofungin (clsi)
aspergillus brasiliensis,itraconazole (clsi),aspergillus brasiliensis,itraconazole (clsi)
aspergillus brasiliensis,micafungin (clsi),aspergillus brasiliensis,micafungin (clsi)
aspergillus brasiliensis,posaconazole (clsi),aspergillus brasiliensis,posaconazole (clsi)
aspergillus brasiliensis,uid,aspergillus brasiliensis,uid
aspergillus brasiliensis,voriconazole (clsi),aspergillus brasiliensis,voriconazole (clsi)
aspergillus caelatus,amphotericin b (clsi),aspergillus caelatus,amphotericin b (clsi)
aspergillus caelatus,anidulafungin (clsi),aspergillus caelatus,anidulafungin (clsi)
aspergillus caelatus,caspofungin (clsi),aspergillus caelatus,caspofungin (clsi)
aspergillus caelatus,itraconazole (clsi),aspergillus caelatus,itraconazole (clsi)
aspergillus caelatus,micafungin (clsi),aspergillus caelatus,micafungin (clsi)
aspergillus caelatus,posaconazole (clsi),aspergillus caelatus,posaconazole (clsi)
aspergillus caelatus,uid,aspergillus caelatus,uid
aspergillus caelatus,voriconazole (clsi),aspergillus caelatus,voriconazole (clsi)
aspergillus clavatus,amphotericin b (clsi),aspergillus clavatus,amphotericin b (clsi)
aspergillus clavatus,anidulafungin (clsi),aspergillus clavatus,anidulafungin (clsi)
aspergillus clavatus,caspofungin (clsi),aspergillus clavatus,caspofungin (clsi)
aspergillus clavatus,itraconazole (clsi),aspergillus clavatus,itraconazole (clsi)
aspergillus clavatus,micafungin (clsi),aspergillus clavatus,micafungin (clsi)
aspergillus clavatus,posaconazole (clsi),aspergillus clavatus,posaconazole (clsi)
aspergillus clavatus,uid,aspergillus clavatus,uid
aspergillus clavatus,voriconazole (clsi),aspergillus clavatus,voriconazole (clsi)
aspergillus flavus,amphotericin b (clsi),aspergillus flavus,amphotericin b (clsi)
aspergillus flavus,anidulafungin (clsi),aspergillus flavus,anidulafungin (clsi)
aspergillus flavus,caspofungin (clsi),aspergillus flavus,caspofungin (clsi)
aspergillus flavus,itraconazole (clsi),aspergillus flavus,itraconazole (clsi)
aspergillus flavus,micafungin (clsi),aspergillus flavus,micafungin (clsi)
aspergillus flavus,posaconazole (clsi),aspergillus flavus,posaconazole (clsi)
aspergillus flavus,uid,aspergillus flavus,uid
aspergillus flavus,voriconazole (clsi),aspergillus flavus,voriconazole (clsi)
aspergillus flavus species complex,amphotericin b (clsi),aspergillus flavus species complex,amphotericin b (clsi)
aspergillus flavus species complex,anidulafungin (clsi),aspergillus flavus species complex,anidulafungin (clsi)
aspergillus flavus species complex,caspofungin (clsi),aspergillus flavus species complex,caspofungin (clsi)
aspergillus flavus species complex,itraconazole (clsi),aspergillus flavus species complex,itraconazole (clsi)
aspergillus flavus species complex,micafungin (clsi),aspergillus flavus species complex,micafungin (clsi)
aspergillus flavus species complex,posaconazole (clsi),aspergillus flavus species complex,posaconazole (clsi)
aspergillus flavus species complex,uid,aspergillus flavus species complex,uid
aspergillus flavus species complex,voriconazole (clsi),aspergillus flavus species complex,voriconazole (clsi)
aspergillus foetidus,amphotericin b (clsi),aspergillus foetidus,amphotericin b (clsi)
aspergillus foetidus,anidulafungin (clsi),aspergillus foetidus,anidulafungin (clsi)
aspergillus foetidus,caspofungin (clsi),aspergillus foetidus,caspofungin (clsi)
aspergillus foetidus,itraconazole (clsi),aspergillus foetidus,itraconazole (clsi)
aspergillus foetidus,micafungin (clsi),aspergillus foetidus,micafungin (clsi)
aspergillus foetidus,posaconazole (clsi),aspergillus foetidus,posaconazole (clsi)
aspergillus foetidus,uid,aspergillus foetidus,uid
aspergillus foetidus,voriconazole (clsi),aspergillus foetidus,voriconazole (clsi)
aspergillus fumigatus,amphotericin b (clsi),aspergillus fumigatus,amphotericin b (clsi)
aspergillus fumigatus,anidulafungin (clsi),aspergillus fumigatus,anidulafungin (clsi)
aspergillus fumigatus,caspofungin (clsi),aspergillus fumigatus,caspofungin (clsi)
aspergillus fumigatus,itraconazole (clsi),aspergillus fumigatus,itraconazole (clsi)
aspergillus fumigatus,micafungin (clsi),aspergillus fumigatus,micafungin (clsi)
aspergillus fumigatus,posaconazole (clsi),aspergillus fumigatus,posaconazole (clsi)
aspergillus fumigatus,uid,aspergillus fumigatus,uid
aspergillus fumigatus,voriconazole (clsi),aspergillus fumigatus,voriconazole (clsi)
aspergillus fumisynnematus,amphotericin b (clsi),aspergillus fumisynnematus,amphotericin b (clsi)
aspergillus fumisynnematus,anidulafungin (clsi),aspergillus fumisynnematus,anidulafungin (clsi)
aspergillus fumisynnematus,caspofungin (clsi),aspergillus fumisynnematus,caspofungin (clsi)
aspergillus fumisynnematus,itraconazole (clsi),aspergillus fumisynnematus,itraconazole (clsi)
aspergillus fumisynnematus,micafungin (clsi),aspergillus fumisynnematus,micafungin (clsi)
aspergillus fumisynnematus,posaconazole (clsi),aspergillus fumisynnematus,posaconazole (clsi)
aspergillus fumisynnematus,uid,aspergillus fumisynnematus,uid
aspergillus fumisynnematus,voriconazole (clsi),aspergillus fumisynnematus,voriconazole (clsi)
aspergillus hiratsukae,amphotericin b (clsi),aspergillus hiratsukae,amphotericin b (clsi)
aspergillus hiratsukae,anidulafungin (clsi),aspergillus hiratsukae,anidulafungin (clsi)
aspergillus hiratsukae,caspofungin (clsi),aspergillus hiratsukae,caspofungin (clsi)
aspergillus hiratsukae,itraconazole (clsi),aspergillus hiratsukae,itraconazole (clsi)
aspergillus hiratsukae,micafungin (clsi),aspergillus hiratsukae,micafungin (clsi)
aspergillus hiratsukae,posaconazole (clsi),aspergillus hiratsukae,posaconazole (clsi)
aspergillus hiratsukae,uid,aspergillus hiratsukae,uid
aspergillus hiratsukae,voriconazole (clsi),aspergillus hiratsukae,voriconazole (clsi)
aspergillus hortai,amphotericin b (clsi),aspergillus hortai,amphotericin b (clsi)
aspergillus hortai,anidulafungin (clsi),aspergillus hortai,anidulafungin (clsi)
aspergillus hortai,caspofungin (clsi),aspergillus hortai,caspofungin (clsi)
aspergillus hortai,itraconazole (clsi),aspergillus hortai,itraconazole (clsi)
aspergillus hortai,micafungin (clsi),aspergillus hortai,micafungin (clsi)
aspergillus hortai,posaconazole (clsi),aspergillus hortai,posaconazole (clsi)
aspergillus hortai,uid,aspergillus hortai,uid
aspergillus hortai,voriconazole (clsi),aspergillus hortai,voriconazole (clsi)
aspergillus lentulus,amphotericin b (clsi),aspergillus lentulus,amphotericin b (clsi)
aspergillus lentulus,anidulafungin (clsi),aspergillus lentulus,anidulafungin (clsi)
aspergillus lentulus,caspofungin (clsi),aspergillus lentulus,caspofungin (clsi)
aspergillus lentulus,itraconazole (clsi),aspergillus lentulus,itraconazole (clsi)
aspergillus lentulus,micafungin (clsi),aspergillus lentulus,micafungin (clsi)
aspergillus lentulus,posaconazole (clsi),aspergillus lentulus,posaconazole (clsi)
aspergillus lentulus,uid,aspergillus lentulus,uid
aspergillus lentulus,voriconazole (clsi),aspergillus lentulus,voriconazole (clsi)
aspergillus melleus,amphotericin b (clsi),aspergillus melleus,amphotericin b (clsi)
aspergillus melleus,anidulafungin (clsi),aspergillus melleus,anidulafungin (clsi)
aspergillus melleus,caspofungin (clsi),aspergillus melleus,caspofungin (clsi)
aspergillus melleus,itraconazole (clsi),aspergillus melleus,itraconazole (clsi)
aspergillus melleus,micafungin (clsi),aspergillus melleus,micafungin (clsi)
aspergillus melleus,posaconazole (clsi),aspergillus melleus,posaconazole (clsi)
aspergillus melleus,uid,aspergillus melleus,uid
aspergillus melleus,voriconazole (clsi),aspergillus melleus,voriconazole (clsi)
aspergillus nidulans,amphotericin b (clsi),aspergillus nidulans,amphotericin b (clsi)
aspergillus nidulans,anidulafungin (clsi),aspergillus nidulans,anidulafungin (clsi)
aspergillus nidulans,caspofungin (clsi),aspergillus nidulans,caspofungin (clsi)
aspergillus nidulans,itraconazole (clsi),aspergillus nidulans,itraconazole (clsi)
aspergillus nidulans,micafungin (clsi),aspergillus nidulans,micafungin (clsi)
aspergillus nidulans,posaconazole (clsi),aspergillus nidulans,posaconazole (clsi)
aspergillus nidulans,uid,aspergillus nidulans,uid
aspergillus nidulans,voriconazole (clsi),aspergillus nidulans,voriconazole (clsi)
aspergillus nidulans species complex,amphotericin b (clsi),aspergillus nidulans species complex,amphotericin b (clsi)
aspergillus nidulans species complex,anidulafungin (clsi),aspergillus nidulans species complex,anidulafungin (clsi)
aspergillus nidulans species complex,caspofungin (clsi),aspergillus nidulans species complex,caspofungin (clsi)
aspergillus nidulans species complex,itraconazole (clsi),aspergillus nidulans species complex,itraconazole (clsi)
aspergillus nidulans species complex,micafungin (clsi),aspergillus nidulans species complex,micafungin (clsi)
aspergillus nidulans species complex,posaconazole (clsi),aspergillus nidulans species complex,posaconazole (clsi)
aspergillus nidulans species complex,uid,aspergillus nidulans species complex,uid
aspergillus nidulans species complex,voriconazole (clsi),aspergillus nidulans species complex,voriconazole (clsi)
aspergillus niger,amphotericin b (clsi),aspergillus niger,amphotericin b (clsi)
aspergillus niger,anidulafungin (clsi),aspergillus niger,anidulafungin (clsi)
aspergillus niger,caspofungin (clsi),aspergillus niger,caspofungin (clsi)
aspergillus niger,itraconazole (clsi),aspergillus niger,itraconazole (clsi)
aspergillus niger,micafungin (clsi),aspergillus niger,micafungin (clsi)
aspergillus niger,posaconazole (clsi),aspergillus niger,posaconazole (clsi)
aspergillus niger,uid,aspergillus niger,uid
aspergillus niger,voriconazole (clsi),aspergillus niger,voriconazole (clsi)
aspergillus niger species complex,amphotericin b (clsi),aspergillus niger species complex,amphotericin b (clsi)
aspergillus niger species complex,anidulafungin (clsi),aspergillus niger species complex,anidulafungin (clsi)
aspergillus niger species complex,caspofungin (clsi),aspergillus niger species complex,caspofungin (clsi)
aspergillus niger species complex,itraconazole (clsi),aspergillus niger species complex,itraconazole (clsi)
aspergillus niger species complex,micafungin (clsi),aspergillus niger species complex,micafungin (clsi)
aspergillus niger species complex,posaconazole (clsi),aspergillus niger species complex,posaconazole (clsi)
aspergillus niger species complex,uid,aspergillus niger species complex,uid
aspergillus niger species complex,voriconazole (clsi),aspergillus niger species complex,voriconazole (clsi)
aspergillus nomius,amphotericin b (clsi),aspergillus nomius,amphotericin b (clsi)
aspergillus nomius,anidulafungin (clsi),aspergillus nomius,anidulafungin (clsi)
aspergillus nomius,caspofungin (clsi),aspergillus nomius,caspofungin (clsi)
aspergillus nomius,itraconazole (clsi),aspergillus nomius,itraconazole (clsi)
aspergillus nomius,micafungin (clsi),aspergillus nomius,micafungin (clsi)
aspergillus nomius,posaconazole (clsi),aspergillus nomius,posaconazole (clsi)
aspergillus nomius,uid,aspergillus nomius,uid
aspergillus nomius,voriconazole (clsi),aspergillus nomius,voriconazole (clsi)
aspergillus ochraceus species complex,amphotericin b (clsi),aspergillus ochraceus species complex,amphotericin b (clsi)
aspergillus ochraceus species complex,anidulafungin (clsi),aspergillus ochraceus species complex,anidulafungin (clsi)
aspergillus ochraceus species complex,caspofungin (clsi),aspergillus ochraceus species complex,caspofungin (clsi)
aspergillus ochraceus species complex,itraconazole (clsi),aspergillus ochraceus species complex,itraconazole (clsi)
aspergillus ochraceus species complex,micafungin (clsi),aspergillus ochraceus species complex,micafungin (clsi)
aspergillus ochraceus species complex,posaconazole (clsi),aspergillus ochraceus species complex,posaconazole (clsi)
aspergillus ochraceus species complex,uid,aspergillus ochraceus species complex,uid
aspergillus ochraceus species complex,voriconazole (clsi),aspergillus ochraceus species complex,voriconazole (clsi)
aspergillus parasiticus,amphotericin b (clsi),aspergillus parasiticus,amphotericin b (clsi)
aspergillus parasiticus,anidulafungin (clsi),aspergillus parasiticus,anidulafungin (clsi)
aspergillus parasiticus,caspofungin (clsi),aspergillus parasiticus,caspofungin (clsi)
aspergillus parasiticus,itraconazole (clsi),aspergillus parasiticus,itraconazole (clsi)
aspergillus parasiticus,micafungin (clsi),aspergillus parasiticus,micafungin (clsi)
aspergillus parasiticus,posaconazole (clsi),aspergillus parasiticus,posaconazole (clsi)
aspergillus parasiticus,uid,aspergillus parasiticus,uid
aspergillus parasiticus,voriconazole (clsi),aspergillus parasiticus,voriconazole (clsi)
aspergillus piperis,amphotericin b (clsi),aspergillus piperis,amphotericin b (clsi)
aspergillus piperis,anidulafungin (clsi),aspergillus piperis,anidulafungin (clsi)
aspergillus piperis,caspofungin (clsi),aspergillus piperis,caspofungin (clsi)
aspergillus piperis,itraconazole (clsi),aspergillus piperis,itraconazole (clsi)
aspergillus piperis,micafungin (clsi),aspergillus piperis,micafungin (clsi)
aspergillus piperis,posaconazole (clsi),aspergillus piperis,posaconazole (clsi)
aspergillus piperis,uid,aspergillus piperis,uid
aspergillus piperis,voriconazole (clsi),aspergillus piperis,voriconazole (clsi)
aspergillus sclerotiorum,amphotericin b (clsi),aspergillus sclerotiorum,amphotericin b (clsi)
aspergillus sclerotiorum,anidulafungin (clsi),aspergillus sclerotiorum,anidulafungin (clsi)
aspergillus sclerotiorum,caspofungin (clsi),aspergillus sclerotiorum,caspofungin (clsi)
aspergillus sclerotiorum,itraconazole (clsi),aspergillus sclerotiorum,itraconazole (clsi)
aspergillus sclerotiorum,micafungin (clsi),aspergillus sclerotiorum,micafungin (clsi)
aspergillus sclerotiorum,posaconazole (clsi),aspergillus sclerotiorum,posaconazole (clsi)
aspergillus sclerotiorum,uid,aspergillus sclerotiorum,uid
aspergillus sclerotiorum,voriconazole (clsi),aspergillus sclerotiorum,voriconazole (clsi)
aspergillus sydowii,amphotericin b (clsi),aspergillus sydowii,amphotericin b (clsi)
aspergillus sydowii,anidulafungin (clsi),aspergillus sydowii,anidulafungin (clsi)
aspergillus sydowii,caspofungin (clsi),aspergillus sydowii,caspofungin (clsi)
aspergillus sydowii,itraconazole (clsi),aspergillus sydowii,itraconazole (clsi)
aspergillus sydowii,micafungin (clsi),aspergillus sydowii,micafungin (clsi)
aspergillus sydowii,posaconazole (clsi),aspergillus sydowii,posaconazole (clsi)
aspergillus sydowii,uid,aspergillus sydowii,uid
aspergillus sydowii,voriconazole (clsi),aspergillus sydowii,voriconazole (clsi)
aspergillus tamarii,amphotericin b (clsi),aspergillus tamarii,amphotericin b (clsi)
aspergillus tamarii,anidulafungin (clsi),aspergillus tamarii,anidulafungin (clsi)
aspergillus tamarii,caspofungin (clsi),aspergillus tamarii,caspofungin (clsi)
aspergillus tamarii,itraconazole (clsi),aspergillus tamarii,itraconazole (clsi)
aspergillus tamarii,micafungin (clsi),aspergillus tamarii,micafungin (clsi)
aspergillus tamarii,posaconazole (clsi),aspergillus tamarii,posaconazole (clsi)
aspergillus tamarii,uid,aspergillus tamarii,uid
aspergillus tamarii,voriconazole (clsi),aspergillus tamarii,voriconazole (clsi)
aspergillus terreus,amphotericin b (clsi),aspergillus terreus,amphotericin b (clsi)
aspergillus terreus,anidulafungin (clsi),aspergillus terreus,anidulafungin (clsi)
aspergillus terreus,caspofungin (clsi),aspergillus terreus,caspofungin (clsi)
aspergillus terreus,itraconazole (clsi),aspergillus terreus,itraconazole (clsi)
aspergillus terreus,micafungin (clsi),aspergillus terreus,micafungin (clsi)
aspergillus terreus,posaconazole (clsi),aspergillus terreus,posaconazole (clsi)
aspergillus terreus,uid,aspergillus terreus,uid
aspergillus terreus,voriconazole (clsi),aspergillus terreus,voriconazole (clsi)
aspergillus terreus species complex,amphotericin b (clsi),aspergillus terreus species complex,amphotericin b (clsi)
aspergillus terreus species complex,anidulafungin (clsi),aspergillus terreus species complex,anidulafungin (clsi)
aspergillus terreus species complex,caspofungin (clsi),aspergillus terreus species complex,caspofungin (clsi)
